Date,Close,High,Low,Open,Volume
3/7/2023,187.7100067,194.1999969,186.1000061,191.3800049,148125800
3/8/2023,182,186.5,180,185.0399933,151897800
3/9/2023,172.9199982,185.1799927,172.5099945,180.25,170023800
3/10/2023,173.4400024,178.2899933,168.4400024,175.1300049,191488900
3/13/2023,174.4799957,177.3500061,163.9100037,167.4600067,167790300
3/14/2023,183.2599945,183.8000031,177.1399994,177.3099976,143717900
3/15/2023,180.4499969,182.3399963,176.0299988,180.8000031,145995600
3/16/2023,184.1300049,185.8099976,178.8399963,180.3699951,121136800
3/17/2023,180.1300049,186.2200012,177.3300018,184.5200043,133197100
3/20/2023,183.25,186.4400024,176.3500061,178.0800018,129684400
3/21/2023,197.5800018,198,188.0399933,188.2799988,153391400
3/22/2023,191.1499939,200.6600037,190.9499969,199.3000031,150376400
3/23/2023,192.2200012,199.3099976,188.6499939,195.2599945,144193900
3/24/2023,190.4100037,192.3600006,187.1499939,191.6499939,116312400
3/27/2023,191.8099976,197.3899994,189.9400024,194.4199982,120851600
3/28/2023,189.1900024,192.3500061,185.4299927,192,98654600
3/29/2023,193.8800049,195.2899933,189.4400024,193.1300049,123660000
3/30/2023,195.2799988,197.3300018,194.4199982,195.5800018,110252200
3/31/2023,207.4600067,207.7899933,197.1999969,197.5299988,170222100
4/3/2023,194.7700043,202.6900024,192.1999969,199.9100037,169545900
4/4/2023,192.5800018,198.7400055,190.3200073,197.3200073,126463800
4/5/2023,185.5200043,190.6799927,183.7599945,190.5200043,133882500
4/6/2023,185.0599976,186.3899994,179.7400055,183.0800018,123857900
4/10/2023,184.5099945,185.1000061,176.1100006,179.9400024,142154600
4/11/2023,186.7899933,189.1900024,185.6499939,186.6900024,115770900
4/12/2023,180.5399933,191.5800018,180.3099976,190.7400055,150256300
4/13/2023,185.8999939,186.5,180.9400024,182.9600067,112933000
4/14/2023,185,186.2799988,182.0099945,183.9499969,96438700
4/17/2023,187.0399933,189.6900024,182.6900024,186.3200073,116662200
4/18/2023,184.3099976,187.6900024,183.5800018,187.1499939,92067000
4/19/2023,180.5899963,183.5,177.6499939,179.1000061,125732700
4/20/2023,162.9900055,169.6999969,160.5599976,166.1699982,210970800
4/21/2023,165.0800018,166,161.3200073,164.8000031,123539000
4/24/2023,162.5500031,165.6499939,158.6100006,164.6499939,140006600
4/25/2023,160.6699982,163.4700012,158.75,159.8200073,121999300
4/26/2023,153.75,160.6699982,153.1399994,160.2899933,153364100
